epoch,step,train/loss,train/reward,val/reward
0,0,,,-719.5
1,1,,,-960.5
2,2,,,-964.75
3,3,,,-967.5
4,4,,,-724.25
5,5,,,-966.0
6,6,,,-972.25
7,7,,,-959.5
8,8,,,-964.25
9,9,,,-726.5
10,10,,,-721.25
11,11,,,-967.0
12,12,,,-471.75
13,13,,,-723.5
14,14,,,-954.0
15,15,,,-712.75
16,16,,,-963.5
17,17,,,-724.0
18,18,,,-238.0
19,19,,,-465.25
20,20,,,-706.5
21,21,,,-473.5
22,22,,,-714.75
23,23,,,-720.75
24,24,,,-474.0
25,25,,,-724.5
26,26,,,-716.25
27,27,,,-241.5
28,28,,,-720.25
29,29,,,-698.5
30,30,,,-478.75
31,31,,,-472.0
32,32,,,-721.25
33,33,,,-706.75
34,34,,,-475.0
35,35,,,-946.0
36,36,,,-704.0
37,37,,,-712.5
38,38,,,-472.0
39,39,,,1.0
40,40,,,-715.25
41,41,,,-711.0
42,42,,,-949.75
43,43,,,-957.5
44,44,,,-953.75
45,45,,,-478.25
46,46,,,-475.25
47,47,,,-952.0
48,48,,,-238.0
49,49,18587.06640625,-470.5,
49,49,,,-712.75
