epoch,step,val/reward
0,0,-707.25
1,1,-933.0
2,2,-705.5
3,3,-944.0
4,4,-926.0
5,5,-952.0
6,6,-947.0
7,7,-921.0
8,8,-944.0
9,9,-932.5
