epoch,step,val/reward
0,0,-258.25
1,1,-747.25
2,2,-749.25
3,3,-752.5
4,4,-261.0
5,5,-503.75
6,6,-995.0
7,7,-502.0
8,8,-500.5
9,9,-249.75
