epoch,step,train/loss,train/reward,val/reward
0,0,,,-1000.0
1,1,,,-1000.0
2,2,,,-1000.0
3,3,,,-1000.0
4,4,,,-1000.0
5,5,,,-1000.0
6,6,,,-1000.0
7,7,,,-1000.0
8,8,,,-1000.0
9,9,,,-1000.0
10,10,,,-1000.0
11,11,,,-1000.0
12,12,,,-1000.0
13,13,,,-1000.0
14,14,,,-1000.0
15,15,,,-1000.0
16,16,,,-1000.0
17,17,,,-751.25
18,18,,,-1000.0
19,19,,,-1000.0
20,20,,,-1000.0
21,21,,,-1000.0
22,22,,,-511.0
23,23,,,-751.25
24,24,,,-1000.0
25,25,,,-1000.0
26,26,,,-1000.0
27,27,,,-755.5
28,28,,,-510.25
29,29,,,-751.0
30,30,,,-755.5
31,31,,,-1000.0
32,32,,,-758.5
33,33,,,-511.0
34,34,,,-1000.0
35,35,,,-511.75
36,36,,,-1000.0
37,37,,,-759.0
38,38,,,-751.25
39,39,,,-1000.0
40,40,,,-751.25
41,41,,,-1000.0
42,42,,,-1000.0
43,43,,,-760.75
44,44,,,-513.0
45,45,,,-505.75
46,46,,,-1000.0
47,47,,,-1000.0
48,48,,,-750.75
49,49,81872.1953125,-369.75,
49,49,,,-1000.0
50,50,,,-1000.0
51,51,,,-751.0
52,52,,,-1000.0
53,53,,,-1000.0
54,54,,,-1000.0
55,55,,,-1000.0
56,56,,,-1000.0
57,57,,,-271.0
58,58,,,-1000.0
59,59,,,-758.25
60,60,,,-1000.0
61,61,,,-1000.0
62,62,,,-1000.0
63,63,,,-1000.0
64,64,,,-1000.0
65,65,,,-1000.0
66,66,,,-503.0
67,67,,,-1000.0
68,68,,,-1000.0
69,69,,,-1000.0
70,70,,,-1000.0
71,71,,,-1000.0
72,72,,,-1000.0
73,73,,,-1000.0
74,74,,,-1000.0
75,75,,,-751.5
76,76,,,-513.5
77,77,,,-1000.0
78,78,,,-1000.0
79,79,,,-1000.0
80,80,,,-751.75
81,81,,,-750.5
82,82,,,-1000.0
83,83,,,-750.75
84,84,,,-1000.0
85,85,,,-1000.0
86,86,,,-750.5
87,87,,,-1000.0
88,88,,,-1000.0
89,89,,,-1000.0
90,90,,,-1000.0
91,91,,,-1000.0
92,92,,,-750.75
93,93,,,-1000.0
94,94,,,-1000.0
95,95,,,-1000.0
96,96,,,-1000.0
97,97,,,-751.25
98,98,,,-502.75
99,99,74556.4296875,-528.5,
99,99,,,-764.75
