epoch,step,train/loss,train/reward,val/reward
0,0,,,-7451.25
1,1,,,-4969.5
2,2,,,-9950.0
3,3,,,-4961.75
4,4,,,-2465.25
5,5,,,-7456.5
6,6,,,-9950.0
7,7,,,-2483.25
8,8,,,-4969.0
9,9,,,-7460.75
10,10,,,-7459.25
11,11,,,-9950.0
12,12,,,-4965.25
13,13,,,-7456.25
14,14,,,10.75
15,15,,,-7450.75
16,16,,,-4966.75
17,17,,,-4964.25
18,18,,,-7464.5
19,19,,,-9950.0
20,20,,,-4974.25
21,21,,,-7450.5
22,22,,,-9950.0
23,23,,,-9950.0
24,24,,,-9950.0
25,25,,,-7450.75
26,26,,,-7460.75
27,27,,,-7457.0
28,28,,,-7461.75
29,29,,,-9950.0
30,30,,,-7461.75
31,31,,,-7455.75
32,32,,,-4969.25
33,33,,,-4970.0
34,34,,,19.5
35,35,,,-4965.5
36,36,,,-2469.25
37,37,,,-2479.25
38,38,,,-4978.25
39,39,,,-4974.25
40,40,,,-4971.75
41,41,,,-2482.5
42,42,,,-2461.25
43,43,,,-4956.25
44,44,,,-4963.0
45,45,,,6.5
46,46,,,-4965.25
47,47,,,16.0
48,48,,,-4967.75
49,49,58544.15234375,-2475.75,
49,49,,,20.25
50,50,,,-2488.5
51,51,,,16.75
52,52,,,-4975.0
53,53,,,-2482.75
54,54,,,-2473.5
55,55,,,7.0
56,56,,,-4964.25
57,57,,,-2474.0
58,58,,,-2480.25
59,59,,,21.0
60,60,,,27.75
61,61,,,-2460.25
62,62,,,-2472.75
63,63,,,-4970.5
64,64,,,-2471.75
65,65,,,-4967.0
66,66,,,31.25
67,67,,,-2478.0
68,68,,,30.0
69,69,,,-2474.0
70,70,,,-4968.5
71,71,,,13.0
72,72,,,-4967.0
73,73,,,21.0
74,74,,,-2475.75
75,75,,,-4975.75
76,76,,,9.25
77,77,,,-2467.0
78,78,,,-2465.25
79,79,,,-2484.75
80,80,,,-4958.5
81,81,,,-7450.75
82,82,,,10.75
83,83,,,5.75
84,84,,,22.5
85,85,,,-2482.0
86,86,,,-2477.75
87,87,,,-4958.0
88,88,,,9.5
89,89,,,-4969.0
90,90,,,-2485.0
91,91,,,27.75
92,92,,,-2478.25
93,93,,,-2481.0
94,94,,,-2.25
95,95,,,1.0
96,96,,,-4972.25
97,97,,,-4968.0
98,98,,,-4960.75
99,99,3071.2998046875,-0.25,
99,99,,,-4972.5
