epoch,step,train/loss,train/reward,val/reward
0,0,,,-9950.0
1,1,,,-9950.0
2,2,,,-7460.25
3,3,,,-7464.5
4,4,,,-9950.0
5,5,,,-9950.0
6,6,,,-9950.0
7,7,,,-9950.0
8,8,,,-9950.0
9,9,,,-9950.0
10,10,,,-9950.0
11,11,,,-9950.0
12,12,,,-9950.0
13,13,,,-9950.0
14,14,,,-9950.0
15,15,,,-4957.75
16,16,,,-9950.0
17,17,,,-9950.0
18,18,,,-9950.0
19,19,,,-9950.0
20,20,,,-9950.0
21,21,,,-9950.0
22,22,,,-9950.0
23,23,,,-9950.0
24,24,,,-9950.0
25,25,,,-9950.0
26,26,,,-9950.0
27,27,,,-9950.0
28,28,,,-7450.5
29,29,,,-9950.0
30,30,,,-9950.0
31,31,,,-7452.25
32,32,,,-9950.0
33,33,,,-7455.75
34,34,,,-9950.0
35,35,,,-7461.5
36,36,,,-7450.75
37,37,,,-9950.0
38,38,,,-9950.0
39,39,,,-9950.0
40,40,,,-9950.0
41,41,,,-9950.0
42,42,,,-9950.0
43,43,,,-9950.0
44,44,,,-9950.0
45,45,,,-9950.0
46,46,,,-9950.0
47,47,,,-9950.0
48,48,,,-9950.0
49,49,0.0,-9950.0,
49,49,,,-7460.25
50,50,,,-7460.5
51,51,,,-9950.0
52,52,,,-9950.0
53,53,,,-9950.0
54,54,,,-9950.0
55,55,,,-7458.25
56,56,,,-9950.0
57,57,,,-9950.0
58,58,,,-9950.0
59,59,,,-9950.0
60,60,,,-7464.5
61,61,,,-9950.0
62,62,,,-9950.0
63,63,,,-9950.0
64,64,,,-7452.0
65,65,,,-9950.0
66,66,,,-4976.0
67,67,,,-9950.0
68,68,,,-9950.0
69,69,,,-9950.0
70,70,,,-7453.75
71,71,,,-7452.75
72,72,,,-9950.0
73,73,,,-7462.25
74,74,,,-9950.0
75,75,,,-9950.0
76,76,,,-7460.25
77,77,,,-4975.5
78,78,,,-9950.0
79,79,,,-9950.0
80,80,,,-7468.75
81,81,,,-9950.0
82,82,,,-4964.25
83,83,,,-9950.0
84,84,,,-4971.25
85,85,,,-9950.0
86,86,,,-7457.75
87,87,,,-4965.75
88,88,,,-7459.75
89,89,,,-7459.25
90,90,,,-7455.25
91,91,,,-7459.0
92,92,,,-4966.0
93,93,,,-9950.0
94,94,,,-9950.0
95,95,,,-7454.5
96,96,,,-9950.0
97,97,,,-9950.0
98,98,,,-9950.0
99,99,-558536.125,-7466.0,
99,99,,,-9950.0
