epoch,step,val/reward
0,0,-754.75
1,1,-270.75
2,2,-1000.0
3,3,-755.5
4,4,-266.25
5,5,-261.5
6,6,-505.0
7,7,-755.0
8,8,-505.75
9,9,-1000.0
