epoch,step,val/reward
0,0,-725.25
1,1,-973.5
2,2,-965.5
3,3,-970.5
4,4,-974.5
5,5,-976.0
6,6,-964.25
7,7,-964.75
8,8,-962.25
9,9,-714.0
