epoch,step,train/loss,train/reward,val/reward
0,0,,,-965.25
1,1,,,-953.0
2,2,,,-959.75
3,3,,,-966.5
4,4,,,-955.75
5,5,,,-965.5
6,6,,,-970.5
7,7,,,-967.75
8,8,,,-959.5
9,9,,,-971.0
10,10,,,-967.0
11,11,,,-718.75
12,12,,,-490.5
13,13,,,-976.0
14,14,,,-491.75
15,15,,,-485.5
16,16,,,-729.0
17,17,,,-484.0
18,18,,,-490.75
19,19,,,-727.25
20,20,,,-960.75
21,21,,,-246.25
22,22,,,-483.5
23,23,,,-962.5
24,24,,,-481.0
25,25,,,-727.25
26,26,,,-723.25
27,27,,,-489.75
28,28,,,-492.0
29,29,,,-248.5
30,30,,,-484.75
31,31,,,-252.75
32,32,,,-721.25
33,33,,,-485.75
34,34,,,-483.25
35,35,,,-19.25
36,36,,,-490.25
37,37,,,-257.5
38,38,,,-18.0
39,39,,,-252.25
40,40,,,-488.0
41,41,,,-491.75
42,42,,,-264.5
43,43,,,-254.0
44,44,,,-491.75
45,45,,,-258.25
46,46,,,-15.5
47,47,,,-255.0
48,48,,,-252.5
49,49,2240.2353515625,-19.75,
49,49,,,-253.0
50,50,,,-250.75
51,51,,,-485.0
52,52,,,-259.0
53,53,,,-22.25
54,54,,,-485.75
55,55,,,-255.25
56,56,,,-23.5
57,57,,,-16.75
58,58,,,-249.5
59,59,,,-492.25
60,60,,,-257.0
61,61,,,-20.75
62,62,,,-251.5
63,63,,,-258.5
64,64,,,-24.5
65,65,,,-726.5
66,66,,,-725.75
67,67,,,-246.75
68,68,,,-261.25
69,69,,,-18.5
70,70,,,-25.25
71,71,,,-731.75
72,72,,,-248.75
73,73,,,-251.5
74,74,,,-24.75
75,75,,,-254.5
76,76,,,-258.5
77,77,,,-258.0
78,78,,,-252.25
79,79,,,-254.75
80,80,,,-250.5
81,81,,,-488.5
82,82,,,-22.0
83,83,,,-19.25
84,84,,,-955.0
85,85,,,-492.75
86,86,,,-17.25
87,87,,,-15.25
88,88,,,-257.75
89,89,,,-20.0
90,90,,,-13.5
91,91,,,-18.75
92,92,,,-19.75
93,93,,,-492.75
94,94,,,-261.5
95,95,,,-489.0
96,96,,,-26.5
97,97,,,-17.75
98,98,,,-20.75
99,99,-29395.58984375,-490.5,
99,99,,,-21.0
