epoch,step,train/loss,train/reward,val/reward
0,0,,,-1000.0
1,1,,,-753.25
2,2,,,-1000.0
3,3,,,-1000.0
4,4,,,-1000.0
5,5,,,-764.25
6,6,,,-757.0
7,7,,,-759.0
8,8,,,-755.5
9,9,,,-1000.0
10,10,,,-761.75
11,11,,,-1000.0
12,12,,,-1000.0
13,13,,,-1000.0
14,14,,,-1000.0
15,15,,,-1000.0
16,16,,,-1000.0
17,17,,,-1000.0
18,18,,,-1000.0
19,19,,,-761.75
20,20,,,-1000.0
21,21,,,-1000.0
22,22,,,-1000.0
23,23,,,-1000.0
24,24,,,-1000.0
25,25,,,-1000.0
26,26,,,-1000.0
27,27,,,-753.25
28,28,,,-1000.0
29,29,,,-758.25
30,30,,,-1000.0
31,31,,,-1000.0
32,32,,,-1000.0
33,33,,,-1000.0
34,34,,,-1000.0
35,35,,,-1000.0
36,36,,,-1000.0
37,37,,,-1000.0
38,38,,,-752.75
39,39,,,-1000.0
40,40,,,-1000.0
41,41,,,-1000.0
42,42,,,-1000.0
43,43,,,-1000.0
44,44,,,-754.75
45,45,,,-754.5
46,46,,,-1000.0
47,47,,,-1000.0
48,48,,,-1000.0
49,49,16745.486328125,-764.0,
49,49,,,-762.5
50,50,,,-1000.0
51,51,,,-764.5
52,52,,,-1000.0
53,53,,,-1000.0
54,54,,,-1000.0
55,55,,,-1000.0
56,56,,,-1000.0
57,57,,,-1000.0
58,58,,,-1000.0
59,59,,,-766.75
60,60,,,-1000.0
61,61,,,-1000.0
62,62,,,-758.75
63,63,,,-1000.0
64,64,,,-1000.0
65,65,,,-1000.0
66,66,,,-1000.0
67,67,,,-1000.0
68,68,,,-1000.0
69,69,,,-756.75
70,70,,,-1000.0
71,71,,,-753.25
72,72,,,-517.0
73,73,,,-1000.0
74,74,,,-762.25
75,75,,,-1000.0
76,76,,,-752.5
77,77,,,-1000.0
78,78,,,-759.0
79,79,,,-767.25
80,80,,,-525.25
81,81,,,-517.75
82,82,,,-760.0
83,83,,,-1000.0
84,84,,,-759.25
85,85,,,-523.25
86,86,,,-521.75
87,87,,,-764.5
88,88,,,-756.0
89,89,,,-765.25
90,90,,,-754.25
91,91,,,-755.5
92,92,,,-763.75
93,93,,,-523.0
94,94,,,-514.75
95,95,,,-760.75
96,96,,,-517.25
97,97,,,-524.75
98,98,,,-512.25
99,99,-14208.484375,-759.0,
99,99,,,-282.75
