epoch,step,val/reward
0,0,-489.75
1,1,-980.0
2,2,-980.0
3,3,-742.5
4,4,-742.0
5,5,-980.0
6,6,-497.5
7,7,-492.25
8,8,-250.25
9,9,-731.0
