epoch,step,train/loss,train/reward,val/reward
0,0,,,-14.5
1,1,,,-1000.0
2,2,,,-511.25
3,3,,,-511.5
4,4,,,-758.0
5,5,,,-754.75
6,6,,,-755.0
7,7,,,-1000.0
8,8,,,-756.5
9,9,,,-751.0
10,10,,,-274.5
11,11,,,-754.75
12,12,,,-750.5
13,13,,,-757.75
14,14,,,-1000.0
15,15,,,-510.0
16,16,,,-758.0
17,17,,,-756.5
18,18,,,-511.75
19,19,,,-521.75
20,20,,,-1000.0
21,21,,,-758.25
22,22,,,-513.5
23,23,,,-518.5
24,24,,,-517.5
25,25,,,-754.5
26,26,,,-513.5
27,27,,,-509.25
28,28,,,-515.25
29,29,,,-25.25
30,30,,,-755.5
31,31,,,-14.25
32,32,,,-508.25
33,33,,,-266.0
34,34,,,-260.5
35,35,,,-19.25
36,36,,,-267.0
37,37,,,-757.25
38,38,,,-16.25
39,39,,,-13.25
40,40,,,-752.75
41,41,,,-266.25
42,42,,,-263.5
43,43,,,-515.5
44,44,,,-266.0
45,45,,,-511.0
46,46,,,-503.75
47,47,,,-19.5
48,48,,,-260.0
49,49,11364.7373046875,-265.75,
49,49,,,-27.25
50,50,,,-265.5
51,51,,,-267.5
52,52,,,-266.5
53,53,,,-512.5
54,54,,,-18.0
55,55,,,-513.5
56,56,,,-18.25
57,57,,,-513.0
58,58,,,-20.25
59,59,,,-22.0
60,60,,,-265.5
61,61,,,-263.5
62,62,,,-22.0
63,63,,,-273.0
64,64,,,-29.75
65,65,,,-265.0
66,66,,,-20.0
67,67,,,-15.5
68,68,,,-513.75
69,69,,,-263.25
70,70,,,-263.75
71,71,,,-26.5
72,72,,,-508.25
73,73,,,-273.25
74,74,,,-265.5
75,75,,,-15.0
76,76,,,-266.75
77,77,,,-22.5
78,78,,,-15.75
79,79,,,-261.25
80,80,,,-271.5
81,81,,,-25.75
82,82,,,-20.75
83,83,,,-262.5
84,84,,,-22.25
85,85,,,-266.75
86,86,,,-263.5
87,87,,,-518.75
88,88,,,-11.25
89,89,,,-22.75
90,90,,,-21.5
91,91,,,-29.25
92,92,,,-26.25
93,93,,,-265.0
94,94,,,-260.5
95,95,,,-24.75
96,96,,,-259.25
97,97,,,-512.0
98,98,,,-19.25
99,99,251.46630859375,-22.5,
99,99,,,-20.25
