epoch,step,train/loss,train/reward,val/reward
0,0,,,-486.75
1,1,,,-480.25
2,2,,,-721.0
3,3,,,-242.25
4,4,,,-483.0
5,5,,,-731.25
6,6,,,-964.5
7,7,,,-477.75
8,8,,,-482.25
9,9,,,-476.5
10,10,,,-721.25
11,11,,,-718.25
12,12,,,-482.25
13,13,,,-482.0
14,14,,,-480.5
15,15,,,-718.5
16,16,,,-723.75
17,17,,,-481.25
18,18,,,1.0
19,19,,,-240.75
20,20,,,-724.5
21,21,,,-724.0
22,22,,,-965.75
23,23,,,-966.5
24,24,,,-476.0
25,25,,,-482.5
26,26,,,-239.75
27,27,,,-720.0
28,28,,,-482.5
29,29,,,-482.0
30,30,,,-721.5
31,31,,,-476.75
32,32,,,-479.25
33,33,,,-243.75
34,34,,,-954.25
35,35,,,-727.25
36,36,,,-485.75
37,37,,,-483.75
38,38,,,-240.25
39,39,,,-484.75
40,40,,,-963.0
41,41,,,-724.75
42,42,,,-725.5
43,43,,,-240.5
44,44,,,-484.75
45,45,,,-241.5
46,46,,,-961.0
47,47,,,-234.25
48,48,,,-235.25
49,49,19738.01953125,-53.0,
49,49,,,-486.25
50,50,,,-964.5
51,51,,,-722.25
52,52,,,-724.5
53,53,,,-483.5
54,54,,,-485.25
55,55,,,-725.75
56,56,,,-241.25
57,57,,,-483.75
58,58,,,-240.25
59,59,,,-479.5
60,60,,,-477.75
61,61,,,-477.5
62,62,,,-724.5
63,63,,,-477.75
64,64,,,-476.5
65,65,,,-235.25
66,66,,,-477.5
67,67,,,-719.75
68,68,,,-240.5
69,69,,,-476.75
70,70,,,-240.75
71,71,,,-719.75
72,72,,,-719.0
73,73,,,-725.0
74,74,,,-726.5
75,75,,,-720.0
76,76,,,-719.25
77,77,,,-483.75
78,78,,,-719.5
79,79,,,-719.75
80,80,,,-483.0
81,81,,,-963.75
82,82,,,-957.5
83,83,,,-483.5
84,84,,,-725.25
85,85,,,-719.5
86,86,,,-483.75
87,87,,,-725.75
88,88,,,-724.5
89,89,,,-483.75
90,90,,,1.0
91,91,,,-241.5
92,92,,,-725.75
93,93,,,-483.0
94,94,,,-240.5
95,95,,,-725.5
96,96,,,-477.0
97,97,,,-720.0
98,98,,,-713.25
99,99,8085.85009765625,-18.0,
99,99,,,-483.75
