epoch,step,train/loss,train/reward,val/reward
0,0,,,-1000.0
1,1,,,-753.25
2,2,,,-767.25
3,3,,,-764.5
4,4,,,-1000.0
5,5,,,-1000.0
6,6,,,-515.5
7,7,,,-759.0
8,8,,,-1000.0
9,9,,,-1000.0
10,10,,,-1000.0
11,11,,,-754.5
12,12,,,-1000.0
13,13,,,-1000.0
14,14,,,-515.75
15,15,,,-1000.0
16,16,,,-1000.0
17,17,,,-1000.0
18,18,,,-1000.0
19,19,,,-759.75
20,20,,,-1000.0
21,21,,,-1000.0
22,22,,,-1000.0
23,23,,,-1000.0
24,24,,,-1000.0
25,25,,,-1000.0
26,26,,,-1000.0
27,27,,,-513.0
28,28,,,-518.5
29,29,,,-758.25
30,30,,,-1000.0
31,31,,,-1000.0
32,32,,,-762.25
33,33,,,-764.75
34,34,,,-1000.0
35,35,,,-1000.0
36,36,,,-1000.0
37,37,,,-1000.0
38,38,,,-752.75
39,39,,,-1000.0
40,40,,,-1000.0
41,41,,,-1000.0
42,42,,,-1000.0
43,43,,,-758.0
44,44,,,-754.75
45,45,,,-752.75
46,46,,,-1000.0
47,47,,,-1000.0
48,48,,,-1000.0
49,49,-24856.025390625,-1000.0,
49,49,,,-1000.0
50,50,,,-1000.0
51,51,,,-1000.0
52,52,,,-1000.0
53,53,,,-757.25
54,54,,,-1000.0
55,55,,,-1000.0
56,56,,,-1000.0
57,57,,,-1000.0
58,58,,,-1000.0
59,59,,,-1000.0
60,60,,,-1000.0
61,61,,,-1000.0
62,62,,,-1000.0
63,63,,,-1000.0
64,64,,,-1000.0
65,65,,,-759.0
66,66,,,-1000.0
67,67,,,-1000.0
68,68,,,-1000.0
69,69,,,-765.25
70,70,,,-763.25
71,71,,,-753.25
72,72,,,-753.5
73,73,,,-767.5
74,74,,,-1000.0
75,75,,,-1000.0
76,76,,,-755.5
77,77,,,-765.75
78,78,,,-760.5
79,79,,,-1000.0
80,80,,,-1000.0
81,81,,,-1000.0
82,82,,,-1000.0
83,83,,,-1000.0
84,84,,,-1000.0
85,85,,,-1000.0
86,86,,,-751.25
87,87,,,-1000.0
88,88,,,-1000.0
89,89,,,-763.75
90,90,,,-757.75
91,91,,,-1000.0
92,92,,,-753.0
93,93,,,-751.75
94,94,,,-1000.0
95,95,,,-751.0
96,96,,,-1000.0
97,97,,,-1000.0
98,98,,,-754.25
99,99,0.0,-1000.0,
99,99,,,-1000.0
