epoch,step,val/reward
0,0,-506.5
1,1,-753.25
2,2,-755.25
3,3,-755.75
4,4,-264.75
5,5,-512.5
6,6,-505.75
7,7,-510.75
8,8,-754.0
9,9,-263.0
