epoch,step,val/reward
0,0,-745.5
1,1,-995.0
2,2,-995.0
3,3,-995.0
4,4,-754.0
5,5,-995.0
6,6,-751.5
7,7,-751.5
8,8,-995.0
9,9,-498.0
