epoch,step,val/reward
0,0,-743.0
1,1,-991.25
2,2,-748.25
3,3,-993.75
4,4,-993.75
5,5,-750.5
6,6,-993.75
7,7,-754.25
8,8,-749.75
9,9,-255.75
