epoch,step,val/reward
0,0,-4959.75
1,1,-9950.0
2,2,-9950.0
3,3,-7457.5
4,4,-9950.0
5,5,-9950.0
6,6,-7455.0
7,7,-9950.0
8,8,-7459.5
9,9,-7451.0
10,10,-7450.5
11,11,-9950.0
12,12,-7450.5
13,13,-7461.75
14,14,-9950.0
15,15,-7456.25
16,16,-9950.0
17,17,-7459.5
18,18,-9950.0
19,19,-7460.5
20,20,-9950.0
21,21,-9950.0
22,22,-9950.0
23,23,-7461.75
24,24,-7451.25
25,25,-9950.0
26,26,-9950.0
27,27,-9950.0
28,28,-9950.0
29,29,-7451.0
