epoch,step,train/loss,train/reward,val/reward
0,0,,,-473.75
1,1,,,-724.75
2,2,,,-711.75
3,3,,,-970.5
4,4,,,-480.0
5,5,,,-728.75
6,6,,,-957.5
7,7,,,-717.25
8,8,,,-696.25
9,9,,,-472.75
10,10,,,-704.75
11,11,,,-947.25
12,12,,,-476.25
13,13,,,-707.25
14,14,,,-721.25
15,15,,,-487.5
16,16,,,-693.75
17,17,,,-950.0
18,18,,,-732.5
19,19,,,-948.25
20,20,,,-718.0
21,21,,,-468.5
22,22,,,-702.0
23,23,,,-704.0
24,24,,,-701.25
25,25,,,-709.0
26,26,,,-951.25
27,27,,,-941.75
28,28,,,-477.75
29,29,,,-709.0
30,30,,,-709.5
31,31,,,-702.5
32,32,,,-467.75
33,33,,,-243.5
34,34,,,-476.0
35,35,,,-946.75
36,36,,,-715.5
37,37,,,-234.5
38,38,,,-709.0
39,39,,,-707.0
40,40,,,-479.0
41,41,,,1.0
42,42,,,-238.0
43,43,,,-237.0
44,44,,,-471.0
45,45,,,-235.25
46,46,,,-238.0
47,47,,,-718.5
48,48,,,-705.5
49,49,19106.119140625,-706.75,
49,49,,,-474.25
50,50,,,-473.0
51,51,,,-713.5
52,52,,,-708.0
53,53,,,-234.75
54,54,,,1.0
55,55,,,-238.0
56,56,,,-474.5
57,57,,,-472.5
58,58,,,-235.0
59,59,,,-235.75
60,60,,,-471.0
61,61,,,-235.5
62,62,,,-480.25
63,63,,,-715.25
64,64,,,-719.25
65,65,,,-233.5
66,66,,,1.0
67,67,,,-720.5
68,68,,,1.0
69,69,,,-474.0
70,70,,,-244.5
71,71,,,-238.25
72,72,,,1.0
73,73,,,-479.75
74,74,,,-733.5
75,75,,,-243.75
76,76,,,-725.25
77,77,,,-483.5
78,78,,,-482.0
79,79,,,-470.25
80,80,,,-234.0
81,81,,,-235.0
82,82,,,-476.0
83,83,,,1.0
84,84,,,-476.0
85,85,,,-719.0
86,86,,,-471.25
87,87,,,-488.5
88,88,,,-481.25
89,89,,,-481.0
90,90,,,-716.5
91,91,,,-239.25
92,92,,,-241.0
93,93,,,-244.0
94,94,,,-243.0
95,95,,,-477.25
96,96,,,-475.75
97,97,,,1.0
98,98,,,-235.0
99,99,27607.099609375,-237.0,
99,99,,,-235.25
