epoch,step,val/reward
0,0,-707.25
1,1,-952.25
2,2,-957.0
3,3,-956.0
4,4,-944.25
5,5,-957.5
6,6,-967.5
7,7,-966.75
8,8,-962.25
9,9,-721.5
