epoch,step,val/reward
0,0,-745.5
1,1,-754.0
2,2,-995.0
3,3,-995.0
4,4,-995.0
5,5,-995.0
6,6,-995.0
7,7,-751.25
8,8,-995.0
9,9,-746.0
