epoch,step,train/loss,train/reward,val/reward
0,0,,,-471.75
1,1,,,-942.5
2,2,,,-942.0
3,3,,,-712.75
4,4,,,-708.0
5,5,,,-945.5
6,6,,,-708.0
7,7,,,-940.0
8,8,,,-700.25
9,9,,,-700.75
10,10,,,-713.0
11,11,,,-723.25
12,12,,,-712.75
13,13,,,-710.75
14,14,,,-943.75
15,15,,,-710.5
16,16,,,-705.0
17,17,,,-715.75
18,18,,,-476.25
19,19,,,-718.0
20,20,,,-947.75
21,21,,,-945.0
22,22,,,-946.25
23,23,,,-713.5
24,24,,,-477.25
25,25,,,-709.75
26,26,,,-954.75
27,27,,,-949.5
28,28,,,-723.25
29,29,,,-721.5
30,30,,,-713.75
31,31,,,-713.75
32,32,,,-712.5
33,33,,,-231.5
34,34,,,-712.0
35,35,,,-947.75
36,36,,,-712.5
37,37,,,-234.75
38,38,,,-235.25
39,39,,,-944.5
40,40,,,-234.75
41,41,,,-707.75
42,42,,,-708.25
43,43,,,-952.25
44,44,,,-470.25
45,45,,,-707.75
46,46,,,-475.25
47,47,,,-473.5
48,48,,,-950.25
49,49,22984.1640625,-234.5,
49,49,,,-715.25
50,50,,,-477.0
51,51,,,-707.5
52,52,,,-473.25
53,53,,,-477.0
54,54,,,-472.0
55,55,,,1.0
56,56,,,-709.75
57,57,,,-708.0
58,58,,,-711.5
59,59,,,-237.0
60,60,,,-472.25
61,61,,,-709.25
62,62,,,-476.0
63,63,,,-473.5
64,64,,,-235.5
65,65,,,-950.25
66,66,,,-474.5
67,67,,,-238.0
68,68,,,-474.25
69,69,,,-472.75
70,70,,,-712.5
71,71,,,-473.5
72,72,,,-236.25
73,73,,,-234.75
74,74,,,-474.5
75,75,,,-235.5
76,76,,,-235.25
77,77,,,-232.0
78,78,,,-238.0
79,79,,,-473.75
80,80,,,-468.0
81,81,,,-477.0
82,82,,,-708.0
83,83,,,-474.25
84,84,,,-237.0
85,85,,,-238.0
86,86,,,1.0
87,87,,,1.0
88,88,,,-471.5
89,89,,,-474.0
90,90,,,-235.5
91,91,,,-711.75
92,92,,,-235.5
93,93,,,-471.25
94,94,,,-238.0
95,95,,,-235.5
96,96,,,-470.75
97,97,,,-238.0
98,98,,,-237.0
99,99,4542.193359375,-237.0,
99,99,,,-474.25
