epoch,step,val/reward
0,0,-258.25
1,1,-999.0
2,2,-752.0
3,3,-755.0
4,4,-999.0
5,5,-754.75
6,6,-999.0
7,7,-999.0
8,8,-999.0
9,9,-750.0
10,10,-258.5
11,11,-999.0
12,12,-508.75
13,13,-999.0
14,14,-999.0
15,15,-511.0
16,16,-999.0
17,17,-999.0
18,18,-752.5
19,19,-754.0
20,20,-758.75
21,21,-999.0
22,22,-999.0
23,23,-758.25
24,24,-503.75
25,25,-999.0
26,26,-999.0
27,27,-999.0
28,28,-999.0
29,29,-750.0
